date;hour;dayAheadPrice
2016-01-10;'14 - 15;20,06
2016-01-04;'15 - 16;34,92
2016-01-05;'15 - 16;33,5
2016-01-06;'15 - 16;36,92
2016-01-07;'15 - 16;33,49
2016-01-08;'15 - 16;32,08
2016-01-09;'15 - 16;27,0
2016-01-10;'15 - 16;21,45
2016-01-04;'16 - 17;38,0
2016-01-05;'16 - 17;35,1
2016-01-06;'16 - 17;41,28
2016-01-07;'16 - 17;34,19
2016-01-08;'16 - 17;37,16
2016-01-09;'16 - 17;30,5
2016-01-10;'16 - 17;23,92
2016-01-04;'17 - 18;41,21
2016-01-05;'17 - 18;42,44
2016-01-06;'17 - 18;44,95
2016-01-07;'17 - 18;40,66
2016-01-08;'17 - 18;45,0
2016-01-09;'17 - 18;36,99
2016-01-10;'17 - 18;27,93
2016-01-04;'18 - 19;42,95
2016-01-05;'18 - 19;42,94
2016-01-06;'18 - 19;46,9
2016-01-07;'18 - 19;40,8
2016-01-08;'18 - 19;46,97
2016-01-09;'18 - 19;36,8
2016-01-10;'18 - 19;35,0
2016-01-04;'19 - 20;41,96
2016-01-05;'19 - 20;41,74
2016-01-06;'19 - 20;43,95
2016-01-07;'19 - 20;37,19
2016-01-08;'19 - 20;40,09
2016-01-09;'19 - 20;35,0
2016-01-10;'19 - 20;33,0
2016-01-04;'20 - 21;34,94
2016-01-05;'20 - 21;36,47
2016-01-06;'20 - 21;39,94
2016-01-07;'20 - 21;31,94
2016-01-08;'20 - 21;34,61
2016-01-09;'20 - 21;29,0
2016-01-10;'20 - 21;30,03
2016-01-04;'21 - 22;30,66
2016-01-05;'21 - 22;33,01
2016-01-06;'21 - 22;32,4
2016-01-07;'21 - 22;27,01
2016-01-08;'21 - 22;31,52
2016-01-09;'21 - 22;25,01
2016-01-10;'21 - 22;26,06
2016-01-04;'22 - 23;30,0
2016-01-05;'22 - 23;31,75
2016-01-06;'22 - 23;33,51
2016-01-07;'22 - 23;27,52
2016-01-08;'22 - 23;32,5
2016-01-09;'22 - 23;25,1
2016-01-10;'22 - 23;26,93
2016-01-04;'23 - 24;23,9
2016-01-05;'23 - 24;26,99
2016-01-06;'23 - 24;30,11
2016-01-07;'23 - 24;23,4
2016-01-08;'23 - 24;26,01
2016-01-09;'23 - 24;22,28
2016-01-10;'23 - 24;23,12
2016-01-11;'00 - 01;21,95
2016-01-12;'00 - 01;21,51
2016-01-13;'00 - 01;21,0
2016-01-14;'00 - 01;24,29
2016-01-15;'00 - 01;24,58
2016-01-16;'00 - 01;27,13
2016-01-17;'00 - 01;20,86
2016-01-11;'01 - 02;20,04
2016-01-12;'01 - 02;19,81
2016-01-13;'01 - 02;19,66
2016-01-14;'01 - 02;23,06
2016-01-15;'01 - 02;25,03
2016-01-16;'01 - 02;26,37
2016-01-17;'01 - 02;20,25
2016-01-11;'02 - 03;19,78
2016-01-12;'02 - 03;19,1
2016-01-13;'02 - 03;18,13
2016-01-14;'02 - 03;22,22
2016-01-15;'02 - 03;24,36
2016-01-16;'02 - 03;25,58
2016-01-17;'02 - 03;20,76
2016-01-11;'03 - 04;19,36
2016-01-12;'03 - 04;15,74
2016-01-13;'03 - 04;15,3
2016-01-14;'03 - 04;22,03
2016-01-15;'03 - 04;23,5
2016-01-16;'03 - 04;24,73
2016-01-17;'03 - 04;20,97
2016-01-11;'04 - 05;19,56
2016-01-12;'04 - 05;15,54
2016-01-13;'04 - 05;18,05
2016-01-14;'04 - 05;22,53
2016-01-15;'04 - 05;22,94
2016-01-16;'04 - 05;24,08
2016-01-17;'04 - 05;20,89
2016-01-11;'05 - 06;21,67
2016-01-12;'05 - 06;20,19
2016-01-13;'05 - 06;20,83
2016-01-14;'05 - 06;23,9
2016-01-15;'05 - 06;23,17
2016-01-16;'05 - 06;25,32
2016-01-17;'05 - 06;20,94
2016-01-11;'06 - 07;28,5
2016-01-12;'06 - 07;24,38
2016-01-13;'06 - 07;24,1
2016-01-14;'06 - 07;29,99
2016-01-15;'06 - 07;26,35
2016-01-16;'06 - 07;24,77
2016-01-17;'06 - 07;19,64
2016-01-11;'07 - 08;41,61
2016-01-12;'07 - 08;35,92
2016-01-13;'07 - 08;27,87
2016-01-14;'07 - 08;44,07
2016-01-15;'07 - 08;40,9
2016-01-16;'07 - 08;25,03
2016-01-17;'07 - 08;22,35
2016-01-11;'08 - 09;45,93
2016-01-12;'08 - 09;40,5
2016-01-13;'08 - 09;29,98
2016-01-14;'08 - 09;44,99
2016-01-15;'08 - 09;45,21
2016-01-16;'08 - 09;27,55
2016-01-17;'08 - 09;23,52
2016-01-11;'09 - 10;44,0
2016-01-12;'09 - 10;41,0
2016-01-13;'09 - 10;30,73
2016-01-14;'09 - 10;41,39
2016-01-15;'09 - 10;45,46
2016-01-16;'09 - 10;32,4
2016-01-17;'09 - 10;26,54
2016-01-11;'10 - 11;41,94
2016-01-12;'10 - 11;38,66
2016-01-13;'10 - 11;31,45
2016-01-14;'10 - 11;34,95
2016-01-15;'10 - 11;45,99
2016-01-16;'10 - 11;34,21
2016-01-17;'10 - 11;30,11
2016-01-11;'11 - 12;41,96
2016-01-12;'11 - 12;36,46
2016-01-13;'11 - 12;33,56
2016-01-14;'11 - 12;33,18
2016-01-15;'11 - 12;46,95
2016-01-16;'11 - 12;33,23
2016-01-17;'11 - 12;36,29
2016-01-11;'12 - 13;42,33
2016-01-12;'12 - 13;35,0
2016-01-13;'12 - 13;33,99
2016-01-14;'12 - 13;31,17
2016-01-15;'12 - 13;44,0
2016-01-16;'12 - 13;29,16
2016-01-17;'12 - 13;32,44
